scenario_id,factor_id,stressed_value
SP-008,RATE-USD-OIS-001M,0.00637749
SP-008,RATE-USD-OIS-002M,0.00646670
SP-008,RATE-USD-OIS-003M,0.00653431
SP-008,RATE-USD-OIS-005M,0.00663968
SP-008,RATE-USD-OIS-007M,0.00672381
SP-008,RATE-USD-OIS-010M,0.00682830
SP-008,RATE-USD-OIS-015M,0.00696976
SP-008,RATE-USD-OIS-020M,0.00708743
SP-008,RATE-USD-OIS-030M,0.00728242
SP-008,RATE-USD-OIS-060M,0.00771525
SP-008,RATE-USD-OIS-090M,0.00804305
SP-008,RATE-USD-OIS-120M,0.00831752
SP-008,RATE-USD-OIS-180M,0.00877522
SP-008,RATE-USD-OIS-240M,0.00915916
SP-008,RATE-USD-OIS-360M,0.00980047
SP-008,RATE-USD-GOVT-001M,0.00838289
SP-008,RATE-USD-GOVT-002M,0.00847210
SP-008,RATE-USD-GOVT-003M,0.00853971
SP-008,RATE-USD-GOVT-005M,0.00864508
SP-008,RATE-USD-GOVT-007M,0.00872921
SP-008,RATE-USD-GOVT-010M,0.00883370
SP-008,RATE-USD-GOVT-015M,0.00897516
SP-008,RATE-USD-GOVT-020M,0.00909283
SP-008,RATE-USD-GOVT-030M,0.00928782
SP-008,RATE-USD-GOVT-060M,0.00972065
SP-008,RATE-USD-GOVT-090M,0.01004845
SP-008,RATE-USD-GOVT-120M,0.01032292
SP-008,RATE-USD-GOVT-180M,0.01078062
SP-008,RATE-USD-GOVT-240M,0.01116456
SP-008,RATE-USD-GOVT-360M,0.01180587
SP-008,RATE-USD-SWAP-001M,0.01038829
SP-008,RATE-USD-SWAP-002M,0.01047750
SP-008,RATE-USD-SWAP-003M,0.01054511
SP-008,RATE-USD-SWAP-005M,0.01065048
SP-008,RATE-USD-SWAP-007M,0.01073461
SP-008,RATE-USD-SWAP-010M,0.01083910
SP-008,RATE-USD-SWAP-015M,0.01098056
SP-008,RATE-USD-SWAP-020M,0.01109823
SP-008,RATE-USD-SWAP-030M,0.01129322
SP-008,RATE-USD-SWAP-060M,0.01172605
SP-008,RATE-USD-SWAP-090M,0.01205385
SP-008,RATE-USD-SWAP-120M,0.01232832
SP-008,RATE-USD-SWAP-180M,0.01278602
SP-008,RATE-USD-SWAP-240M,0.01316996
SP-008,RATE-USD-SWAP-360M,0.01381127
SP-008,RATE-USD-INFLATION-001M,0.01239369
SP-008,RATE-USD-INFLATION-002M,0.01248290
SP-008,RATE-USD-INFLATION-003M,0.01255051
SP-008,RATE-USD-INFLATION-005M,0.01265588
SP-008,RATE-USD-INFLATION-007M,0.01274001
SP-008,RATE-USD-INFLATION-010M,0.01284450
SP-008,RATE-USD-INFLATION-015M,0.01298596
SP-008,RATE-USD-INFLATION-020M,0.01310363
SP-008,RATE-USD-INFLATION-030M,0.01329862
SP-008,RATE-USD-INFLATION-060M,0.01373145
SP-008,RATE-USD-INFLATION-090M,0.01405925
SP-008,RATE-USD-INFLATION-120M,0.01433372
SP-008,RATE-USD-INFLATION-180M,0.01479142
SP-008,RATE-USD-INFLATION-240M,0.01517536
SP-008,RATE-USD-INFLATION-360M,0.01581667
SP-008,RATE-EUR-OIS-001M,0.00787749
SP-008,RATE-EUR-OIS-002M,0.00796670
SP-008,RATE-EUR-OIS-003M,0.00803431
SP-008,RATE-EUR-OIS-005M,0.00813968
SP-008,RATE-EUR-OIS-007M,0.00822381
SP-008,RATE-EUR-OIS-010M,0.00832830
SP-008,RATE-EUR-OIS-015M,0.00846976
SP-008,RATE-EUR-OIS-020M,0.00858743
SP-008,RATE-EUR-OIS-030M,0.00878242
SP-008,RATE-EUR-OIS-060M,0.00921525
SP-008,RATE-EUR-OIS-090M,0.00954305
